Idopont,CPU_szazalek,RAM_GB,GPU_szazalek,VRAM_GB,GPU_Watt,GPU_Celsius
18:48:57,0.0,6.59,0,0.82,17.1,40
18:48:58,6.4,6.99,0,0.97,19.6,40
18:48:59,6.3,6.99,0,0.97,16.1,40
18:49:00,6.4,9.27,0,4.74,19.0,41
18:49:01,20.1,11.64,15,11.10,29.3,41
18:49:02,44.1,12.22,10,11.25,81.5,47
18:49:03,56.5,12.21,15,11.25,45.1,42
18:49:04,56.5,12.19,15,11.25,42.9,42
18:49:05,56.5,12.17,8,11.25,37.8,42
18:49:06,56.5,12.15,8,11.25,38.5,44
18:49:07,56.6,12.13,15,11.25,37.8,42
18:49:08,56.4,12.12,11,11.25,37.7,42
18:49:09,56.4,12.09,8,11.25,38.5,43
18:49:10,56.6,12.07,15,11.25,37.9,42
18:49:11,56.5,12.06,16,11.25,39.0,42
18:49:12,56.4,12.04,8,11.25,37.1,43
18:49:13,47.0,12.03,8,11.25,38.3,45
18:49:14,6.5,12.03,0,11.25,19.7,42
18:49:15,6.3,12.02,0,11.25,16.2,42
18:49:16,21.1,12.21,0,11.32,15.6,41
18:49:17,50.1,12.25,0,11.32,16.2,41
18:49:18,46.2,12.46,16,11.32,21.4,42
18:49:19,50.2,12.46,15,11.32,38.4,42
18:49:20,50.1,12.46,8,11.32,39.2,46
18:49:21,50.2,12.46,8,11.32,38.3,43
18:49:22,50.2,12.45,15,11.32,39.2,43
18:49:23,50.2,12.44,16,11.32,40.1,43
18:49:24,50.4,12.44,15,11.32,39.8,43
18:49:25,50.2,12.44,15,11.32,39.7,43
18:49:26,50.2,12.44,8,11.32,39.0,46
18:49:27,50.2,12.44,8,11.32,39.1,44
18:49:28,50.2,12.42,8,11.32,39.1,44
18:49:29,50.2,12.42,8,11.32,38.5,44
18:49:30,50.2,12.42,15,11.32,38.8,43
18:49:31,50.1,12.39,16,11.32,40.3,43
18:49:32,50.2,12.39,15,11.32,39.8,43
18:49:33,40.5,12.39,15,11.32,39.6,43
18:49:34,0.2,12.40,0,11.32,19.7,43
18:49:35,6.1,12.41,0,11.32,19.4,43
18:49:36,50.1,12.44,0,11.32,15.1,42
18:49:37,35.3,13.00,1,11.32,16.0,42
18:49:38,42.4,13.29,8,11.32,54.6,48
18:49:39,50.2,13.28,8,11.32,45.5,45
18:49:40,50.2,13.28,14,11.32,42.7,44
18:49:41,50.2,13.27,15,11.32,40.6,44
18:49:42,50.1,13.26,15,11.32,40.3,44
18:49:43,50.2,13.26,15,11.32,40.2,44
18:49:44,50.2,13.26,8,11.32,39.4,47
18:49:45,50.2,13.26,8,11.32,39.9,45
18:49:46,50.2,13.26,8,11.32,40.0,45
18:49:47,50.2,13.25,8,11.32,40.1,45
18:49:48,50.3,13.24,15,11.32,40.0,44
18:49:49,50.1,13.24,16,11.32,41.0,44
18:49:50,33.7,13.23,15,11.32,40.6,44
18:49:51,0.1,13.23,0,11.32,21.1,43
18:49:52,5.2,13.26,0,11.32,16.9,43
18:49:53,48.8,13.23,0,11.32,17.1,43
18:49:54,38.6,13.77,0,11.32,16.9,43
18:49:55,41.2,14.05,27,11.32,58.2,48
18:49:56,38.4,14.05,9,11.32,49.2,45
18:49:57,0.1,14.04,0,11.32,26.9,44
18:49:58,0.4,14.04,0,11.32,26.0,44
18:49:59,37.9,14.28,0,11.32,16.1,44
18:50:00,50.1,14.24,0,11.32,17.3,44
18:50:01,29.6,15.00,80,11.32,36.1,48
18:50:02,50.2,15.00,15,11.32,82.2,46
18:50:03,50.2,14.98,15,11.32,46.1,45
18:50:04,50.1,14.97,11,11.32,42.7,46
18:50:05,50.1,14.97,8,11.32,39.8,47
18:50:06,50.2,14.96,8,11.32,39.5,46
18:50:07,50.3,14.95,8,11.32,39.3,45
18:50:08,50.2,14.94,10,11.32,39.4,45
18:50:09,50.1,14.93,16,11.32,40.2,45
18:50:10,50.1,14.88,15,11.32,40.5,45
18:50:11,50.1,14.87,15,11.32,40.3,45
18:50:12,50.2,14.87,13,11.32,40.0,45
18:50:13,50.2,14.87,8,11.32,41.0,48
